Track name	Track link	User name	User link	Play count	Duration
Zara Larsson - Uncover (Millesim Remix)	https://soundcloud.com/millesimofficial/zara-larsson-uncover-j-art-madan?in=eliana-cogine/sets/musicas-relaxantes	Millesim	https://soundcloud.com/millesimofficial	None	3:54
The Chainsmokers Ft. GGFO - Let You Go (Aash Mehta Remix)[Free Download]	https://soundcloud.com/aash-mehta/let-you-go?in=eliana-cogine/sets/musicas-relaxantes	Aash Mehta	https://soundcloud.com/aash-mehta	8.78M	5:12
Birds Fly (Commentary Bonus Version) [feat. Mr. Probz]	https://soundcloud.com/hardwell/hardwell-feat-mr-probz-birds-fly-out-now?in=eliana-cogine/sets/musicas-relaxantes	HARDWELL	https://soundcloud.com/hardwell	6.6M	None
KDrew - Tonight (GRMM Remix)	https://soundcloud.com/hegemon/kdrew-tonight-grmm-remix?in=eliana-cogine/sets/musicas-relaxantes	Hegemon Select	https://soundcloud.com/hegemon	6.94M	4:03
The Light (Acoustic Version)	https://soundcloud.com/armadamusic/disco-fries-feat-niko-the-kid-the-light-acoustic-version?in=eliana-cogine/sets/musicas-relaxantes	Armada Music	https://soundcloud.com/armadamusic	5.5M	3:20
Halsey - Ghost (Lost Kings Remix)	https://soundcloud.com/wearelostkings/ghost-lost-kings-remix?in=eliana-cogine/sets/musicas-relaxantes	Lost Kings	https://soundcloud.com/wearelostkings	9.87M	3:07
ODESZA - All We Need (feat. Shy Girls) (Autograf Remix)	https://soundcloud.com/mrsuicidesheep/odesza-all-we-need-feat-shy-girls-autograf-remix?in=eliana-cogine/sets/musicas-relaxantes	MrSuicideSheep	https://soundcloud.com/mrsuicidesheep	8.35M	6:11
Maybe I Should Call	https://soundcloud.com/thekmichelle/k-michelle-maybe-i-should-call?in=eliana-cogine/sets/musicas-relaxantes	K. Michelle	https://soundcloud.com/thekmichelle	11.3M	None
Mixtape N°4 - Kungs (TRACKLIST OUT)	https://soundcloud.com/le-comptoir-auditif/mixtape-n4-kungs?in=eliana-cogine/sets/musicas-relaxantes	Le Comptoir Auditif	https://soundcloud.com/le-comptoir-auditif	3.09M	56:14
Calvin Harris - I Need Your Love Ft Ellie Goulding Aflo Remix BUY = FREE DL	https://soundcloud.com/aflo35/calvin-harris-i-need-your-love-ft-ellie-goulding-aflo-tropical-house-remix?in=eliana-cogine/sets/musicas-relaxantes	Aflo.	https://soundcloud.com/aflo35	2.92M	5:20
