"playlist_name	playlist_owner_name	playlist_owner_url	number_track	playlist_posted_time	playlist_likes",,,,
"musicas relaxantes	lihcogine	https://soundcloud.com/eliana-cogine	49	2015-04-09	178K",,,,
"Favorites	Yeonkkot	https://soundcloud.com/yeonkkot	15	2017-08-19	17K",,,,
"jazzhip 7	soo	https://soundcloud.com/yourparadis	45	2019-03-02	110K",,,,
"Chill out	Juneau the Zookeeper	https://soundcloud.com/juneau713	182	2019-01-05	8",665,,,
"Morning Chillout	Mighty	https://soundcloud.com/mightyj-1	98	2020-06-30	90.1K",,,,
"Never Chill Before	Pineapple Express.	https://soundcloud.com/bi-s-n-3	38	2016-06-01	237K",,,,
"Chill Mix(High On Chill)	LukasM	https://soundcloud.com/lukasm1	37	2017-05-03	194K",,,,
"The Last Chillstep Playlist You'll Ever Need (8Tracks)	Adrien Brunelat	https://soundcloud.com/adrien-brunelat	76	2015-01-27	73.6K",,,,
"a chilly autumn day	User 101682266	https://soundcloud.com/tb3dvuqu1ugs	15	2019-10-26	4",938,,,
"| Chill | Lofi | Hip Hop |	helennpham	https://soundcloud.com/helennpham	122	2017-10-28	70.3K",,,,
"Morning	Yeonkkot	https://soundcloud.com/yeonkkot	29	2017-12-22	47.9K",,,,
"Chillax Mood	J e z i k a ♡	https://soundcloud.com/its-jezika-bruh	20	2014-09-22	146K",,,,
"Chill Out 2018	Thiago Silva 365	https://soundcloud.com/thiago-silva-394	33	2018-02-03	83.8K",,,,
"jazzy night 2	User 101682266	https://soundcloud.com/tb3dvuqu1ugs	15	2019-10-04	29K",,,,
"GLITCHED LOVE	Blanc de Noir	https://soundcloud.com/blanc_de_noir	28	2017-11-23	31K",,,,
"Best Of MrRevillz	ilyana azman	https://soundcloud.com/ilyanaazman	134	2017-05-01	91.1K",,,,
"rainyday chill	soo	https://soundcloud.com/yourparadis	25	2019-06-17	17.9K",,,,
"Iced Coffee	Yeonkkot	https://soundcloud.com/yeonkkot	29	2017-04-03	49.6K",,,,
"Breeze	Yeonkkot	https://soundcloud.com/yeonkkot	25	2017-05-02	74.9K",,,,
"jazzy night	User 101682266	https://soundcloud.com/tb3dvuqu1ugs	14	2019-08-18	30.7K",,,,
Study, Chill, Relax," Gaming ~ Audible Adderall #15	MugaTunes	https://soundcloud.com/mugatunesofficial	60	2018-10-16	13.7K",
"sweet summer night	User 101682266	https://soundcloud.com/tb3dvuqu1ugs	21	2019-07-20	19K",,,,
"Chill 2018	Playlists Daily	https://soundcloud.com/partyplaylists69	50	2018-10-28	9",692,,,
"Emotive 10 (chilled)	Ric	https://soundcloud.com/riccardo2707	33	2017-01-04	14.1K",,,,
"Jazz hip	soo	https://soundcloud.com/yourparadis	14	2017-11-12	84.4K",,,,
"lofi/sleep	repaintable	https://soundcloud.com/yourwaifusad	170	2019-05-09	81.7K",,,,
"Lofi?... again?	Perfect	https://soundcloud.com/perfectmsc	30	2020-05-14	3",221,,,
"Oct. Lo-fi	ilovehanriver	https://soundcloud.com/hanriverlove	28	2020-10-21	384",,,,
Study, Chill, Relax," Gaming ~ Audible Adderall #10	MugaTunes	https://soundcloud.com/mugatunesofficial	49	2016-10-10	8",504
"the end of the fucking world	extratwithsugar	https://soundcloud.com/user-sweett	91	2018-01-13	17.4K",,,,
"Electro Posé l Best Of September - October 2017	Electro Posé	https://soundcloud.com/electropose	32	2017-11-01	4",791,,,
"Chill	Yeonkkot	https://soundcloud.com/yeonkkot	31	2017-03-30	34.7K",,,,
"Wander | A Chill Mix (By: Koala Kontrol)	Fusion Music	https://soundcloud.com/wefusionmusic	16	2016-05-26	42.3K",,,,
"Gentle Dreams 🛏️ - An Indie/Chill/Electronic Playlist	alexrainbirdMusic	https://soundcloud.com/alexrainbirdmusic	18	2017-05-13	120K",,,,
"Rainy Day	so.phree	https://soundcloud.com/sdoukas	23	2016-11-30	39.7K",,,,
"Liliy	grasia	https://soundcloud.com/user-445069339	49	2019-06-19	2",138,,,
"Study & Chill | Lofi Hiphop	the bootleg boy	https://soundcloud.com/dabootlegboy	21	2018-09-03	84.9K",,,,
"english	music	https://soundcloud.com/mohammad-shuvo-910800399	21	2018-10-11	2",273,,,
"Sad Slowed	jazmine.nicolas	https://soundcloud.com/user-267115463	74	2020-07-16	253",,,,
"Study Electronic Chill	Randy Gerard C R	https://soundcloud.com/randy-gerard-c-r	38	2013-11-09	10.3K",,,,
"Electro Posé l Best Of March 2016	Electro Posé	https://soundcloud.com/electropose	17	2016-03-28	17.4K",,,,
"Chill	JERICHO	https://soundcloud.com/iijeriichoii	38	2016-11-15	8",780,,,
"Weekly Chill Playlist Volume 11	Thissongissick.com	https://soundcloud.com/nickraymondg	20	2017-05-02	7",238,,,
"sleepy	stella rae	https://soundcloud.com/stellaraee	79	2014-11-12	18.4K",,,,
"Lo-Fi Hip Hop	J. Fronze	https://soundcloud.com/fransdans	47	2017-01-14	12.4K",,,,
"hold this	sketshori	https://soundcloud.com/sketshori	25	2017-03-24	23.2K",,,,
"TheSoundYouNeed	ilyana azman	https://soundcloud.com/ilyanaazman	67	2017-10-22	40.4K",,,,
"CHILL GOOD BEATS (By Ramune ラムネ)	Kbab	https://soundcloud.com/thomas-warin-kbab	17	2017-06-13	15K",,,,
"STUDY	mcatiu	https://soundcloud.com/bukopan	53	2017-01-09	3",943,,,
"I'm Not My Past | Lofi HipHop | Mix	VerselMix	https://soundcloud.com/musictobechill	14	2019-08-21	1",717,,,
"Best of Deep House (Vol. 02)	Westcoast Radio (EDM)	https://soundcloud.com/digitalstreams	30	2017-07-01	120K",,,,
"Grooveey danceyy	*seba*	https://soundcloud.com/sebaalomar	67	2015-12-14	184K",,,,
"Best Of Chill Nation	ilyana azman	https://soundcloud.com/ilyanaazman	119	2017-05-10	211K",,,,
"T-4 Techno	Westcoast Radio (EDM)	https://soundcloud.com/digitalstreams	30	2017-07-28	47.1K",,,,
"Best Of MrRevillz	ilyana azman	https://soundcloud.com/ilyanaazman	134	2017-05-01	91.1K",,,,
"Ja feel Tomorrowland Weekender	Ja feel	https://soundcloud.com/jafeel	22	2015-07-24	211K",,,,
"Best Of MrSuicideSheep	ilyana azman	https://soundcloud.com/ilyanaazman	46	2018-11-28	13.1K",,,,
"Best Electro of All-Time (Vol. 01)	Westcoast Radio (EDM)	https://soundcloud.com/digitalstreams	40	2019-07-05	13K",,,,
"Burning Man	Westcoast Radio (EDM)	https://soundcloud.com/digitalstreams	51	2018-03-02	7",382,,,
"Best Of Trap Nation	ilyana azman	https://soundcloud.com/ilyanaazman	143	2017-11-27	93.1K",,,,
"Best of Saxxy House (2020)	Westcoast Radio (EDM)	https://soundcloud.com/digitalstreams	40	2015-10-25	51K",,,,
"Party 2018	Playlists Daily	https://soundcloud.com/partyplaylists69	46	2018-10-28	66K",,,,
"Summer 2k17	lilly manning	https://soundcloud.com/user-610681392	102	2017-05-25	150K",,,,
"Best Of Trap City	ilyana azman	https://soundcloud.com/ilyanaazman	78	2017-08-24	18.3K",,,,
"Best of Tech House (2020)	Westcoast Radio (EDM)	https://soundcloud.com/digitalstreams	30	2016-01-26	42.4K",,,,
"Best of Trap & Bass	Westcoast Radio	https://soundcloud.com/westcoastradiotv	31	2015-05-23	44.4K",,,,
"Best 90s Dance Hits	Westcoast Radio (EDM)	https://soundcloud.com/digitalstreams	36	2017-03-16	20.9K",,,,
"new beginnings	ellamaley	https://soundcloud.com/ellamaley	47	2017-05-04	56K",,,,
"Best of Progressive Tech House	Westcoast Radio (EDM)	https://soundcloud.com/digitalstreams	30	2019-11-27	5",850,,,
"Best Rap Classics (All-Time)	Digital Records	https://soundcloud.com/officialdigitalrecords	30	2016-12-23	26.8K",,,,
"YNM#4	ARA	https://soundcloud.com/teamdr	41	2016-05-09	12.7K",,,,
"Best EDM of 2020 (All-Time)	Westcoast Radio (EDM)	https://soundcloud.com/digitalstreams	50	2017-12-04	20.1K",,,,
"Summer Vibes	ilovehanriver	https://soundcloud.com/hanriverlove	18	2020-04-13	2",721,,,
"Best of House Music (Vol. 01)	Westcoast Radio (EDM)	https://soundcloud.com/digitalstreams	30	2015-02-22	79.7K",,,,
